image_id,mean_brightness,contrast_std,p99,obj_count,source_n05,source_n09,ours_n05,ours_n09,delta_n05,delta_n09,gain_score
lindau_000009_000019_leftImg8bit_foggy,129.337,49.45,251.667,12,1,1,5,2,4,1,6.0
lindau_000039_000019_leftImg8bit_foggy,130.451,57.396,255.0,8,2,2,6,4,4,2,8.0
lindau_000050_000019_leftImg8bit_foggy,113.525,43.002,255.0,1,0,0,0,0,0,0,0.0
lindau_000033_000019_leftImg8bit_foggy,132.527,42.039,255.0,11,8,6,8,7,0,1,2.0
lindau_000043_000019_leftImg8bit_foggy,120.204,55.722,255.0,4,2,1,3,2,1,1,3.0
lindau_000013_000019_leftImg8bit_foggy,136.555,55.596,198.333,20,2,0,7,1,5,1,7.0
lindau_000002_000019_leftImg8bit_foggy,108.467,41.553,190.0,10,1,0,2,2,1,2,5.0
lindau_000036_000019_leftImg8bit_foggy,112.597,40.316,254.333,2,1,0,1,1,0,1,2.0
lindau_000023_000019_leftImg8bit_foggy,134.093,61.779,255.0,8,1,1,6,1,5,0,5.0
lindau_000030_000019_leftImg8bit_foggy,127.928,48.264,255.0,1,0,0,0,0,0,0,0.0
lindau_000046_000019_leftImg8bit_foggy,90.438,27.784,169.667,2,0,0,0,0,0,0,0.0
lindau_000007_000019_leftImg8bit_foggy,123.37,45.01,198.667,13,2,1,2,2,0,1,2.0
lindau_000048_000019_leftImg8bit_foggy,95.404,44.898,207.667,1,1,1,1,1,0,0,0.0
lindau_000006_000019_leftImg8bit_foggy,135.882,55.355,232.667,11,1,1,5,3,4,2,8.0
lindau_000020_000019_leftImg8bit_foggy,105.845,39.187,230.667,1,1,1,2,1,1,0,1.0
lindau_000038_000019_leftImg8bit_foggy,128.347,59.479,255.0,16,10,5,11,6,1,1,3.0
lindau_000016_000019_leftImg8bit_foggy,133.986,65.313,255.0,8,4,1,5,4,1,3,7.0
lindau_000000_000019_leftImg8bit_foggy,133.513,55.551,228.667,14,2,2,2,2,0,0,0.0
lindau_000047_000019_leftImg8bit_foggy,74.64,26.724,152.0,2,1,0,1,1,0,1,2.0
lindau_000057_000019_leftImg8bit_foggy,146.665,44.394,239.667,13,3,3,5,5,2,2,6.0
lindau_000011_000019_leftImg8bit_foggy,91.783,32.787,213.667,4,1,1,2,1,1,0,1.0
lindau_000010_000019_leftImg8bit_foggy,97.329,40.061,181.333,10,4,2,2,2,-2,0,-2.0
lindau_000052_000019_leftImg8bit_foggy,85.355,20.548,141.667,3,1,1,2,1,1,0,1.0
lindau_000012_000019_leftImg8bit_foggy,96.594,34.622,185.667,6,2,2,3,3,1,1,3.0
lindau_000015_000019_leftImg8bit_foggy,133.047,59.592,255.0,5,2,2,3,2,1,0,1.0
lindau_000054_000019_leftImg8bit_foggy,155.239,78.644,246.667,2,0,0,2,0,2,0,2.0
frankfurt_000001_012738_leftImg8bit_foggy,123.09,52.024,255.0,28,8,4,10,6,2,2,6.0
frankfurt_000001_062793_leftImg8bit_foggy,147.516,47.579,255.0,28,2,0,6,5,4,5,14.0
frankfurt_000000_010763_leftImg8bit_foggy,135.702,55.329,255.0,5,0,0,0,0,0,0,0.0
frankfurt_000001_073464_leftImg8bit_foggy,126.981,83.892,255.0,30,11,6,12,8,1,2,5.0
frankfurt_000001_054077_leftImg8bit_foggy,126.607,19.987,188.0,12,0,0,3,2,3,2,7.0
frankfurt_000001_068772_leftImg8bit_foggy,137.529,45.097,248.667,39,4,4,4,3,0,-1,-2.0
frankfurt_000000_003357_leftImg8bit_foggy,148.092,62.521,255.0,18,5,4,4,4,-1,0,-1.0
frankfurt_000001_072155_leftImg8bit_foggy,156.213,44.994,255.0,13,4,1,2,1,-2,0,-2.0
frankfurt_000001_063045_leftImg8bit_foggy,146.655,54.074,255.0,29,11,3,9,5,-2,2,2.0
frankfurt_000000_001751_leftImg8bit_foggy,141.634,45.974,237.333,25,9,2,6,3,-3,1,-1.0
frankfurt_000001_083852_leftImg8bit_foggy,149.523,64.204,252.667,18,2,2,2,2,0,0,0.0
frankfurt_000001_041354_leftImg8bit_foggy,144.05,63.471,255.0,3,2,2,4,3,2,1,4.0
frankfurt_000001_007857_leftImg8bit_foggy,160.006,48.294,255.0,10,7,2,7,3,0,1,2.0
frankfurt_000001_002512_leftImg8bit_foggy,157.783,51.607,254.667,12,2,2,3,0,1,-2,-3.0
