run,epoch,model,ap,ap50,ap75
first,1,student,16.8443,29.8713,15.318
first,1,teacher,17.5896,30.0254,16.6786
first,2,student,17.7669,31.4932,17.4882
first,2,teacher,18.9737,33.1166,18.1936
first,3,student,19.1746,34.9663,19.0645
first,3,teacher,19.736,34.8298,18.8922
first,4,student,18.7995,34.6031,17.8651
first,4,teacher,20.5897,36.2407,20.0776
first,5,student,19.265,35.0519,17.5675
first,5,teacher,20.8731,36.1682,20.6413
first,6,student,18.9116,34.9286,18.4179
first,6,teacher,20.9492,36.0146,20.71
first,7,student,19.3287,32.9583,19.1389
first,7,teacher,21.0636,36.892,20.4151
first,8,student,19.1494,34.6998,17.9072
first,8,teacher,20.9367,36.6389,21.1419
first,9,student,19.4378,35.4827,19.2136
first,9,teacher,21.1966,37.5594,21.2642
first,10,student,20.5918,36.1979,20.5916
first,10,teacher,21.2845,37.8653,20.5955
second,1,student,18.1377,31.5679,17.6482
second,1,teacher,18.1067,30.5901,18.2958
second,2,student,19.364,34.3348,19.2847
second,2,teacher,19.4676,33.6069,18.4588
second,3,student,18.5332,33.7797,17.3529
second,3,teacher,20.0051,35.0283,19.3654
second,4,student,17.9252,32.4531,17.8893
second,4,teacher,20.3321,36.4951,19.9784
second,5,student,20.1567,34.9732,18.4578
second,5,teacher,20.946,36.6079,20.1327
second,6,student,19.2076,35.8081,17.8795
second,6,teacher,21.4904,36.9333,21.2123
second,7,student,19.1457,35.3423,17.2362
second,7,teacher,21.2873,36.692,20.7872
second,8,student,19.4932,36.9317,17.8476
second,8,teacher,21.3159,36.5779,21.1928
second,9,student,19.4835,35.8137,17.6853
second,9,teacher,20.878,36.9397,20.1907
second,10,student,20.0745,36.1909,18.317
second,10,teacher,21.1618,37.2091,20.744
